54        |adenovirus, type 4|adenovirus vaccine, type 4, live, oral||Inactive|False|2010/05/28
55        |adenovirus, type 7|adenovirus vaccine, type 7, live, oral||Inactive|False|2010/05/28
82        |adenovirus, unspecified formulation|adenovirus vaccine, unspecified formulation|This CVX code allows reporting of a vaccination when formulation is unknown (for example, when recording a adenovirus vaccination when noted on a vaccination card)|Inactive|False|2010/09/30
24        |Anthrax, pre-exposure prophylaxis, post-exposure prophylaxis|Anthrax vaccine, adsorbed, pre-exposure and post-exposure prophylaxis||Active|False|2024/01/25
19        |BCG|Bacillus Calmette-Guerin vaccine||Active|False|2010/05/28
27        |botulinum antitoxin|botulinum antitoxin||Active|True|2020/09/04
26        |cholera, unspecified formulation|cholera vaccine, unspecified formulation||Inactive|False|2016/06/17
29        |CMVIG|cytomegalovirus immune globulin, intravenous||Active|True|2020/09/04
56        |dengue fever tetravalent|dengue fever vaccine, tetravalent|Applies to tetravalent product (e.g. DENGVAXIA)|Active|False|2023/02/16
12        |diphtheria antitoxin|diphtheria antitoxin||Active|True|2020/09/04
28        |DT (pediatric)|diphtheria and tetanus toxoids, adsorbed for pediatric use||Active|False|2010/05/28
20        |DTaP|diphtheria, tetanus toxoids and acellular pertussis vaccine||Active|False|2010/05/28
106       |DTaP, 5 pertussis antigens|diphtheria, tetanus toxoids and acellular pertussis vaccine, 5 pertussis antigens||Active|False|2010/05/28
107       |DTaP, unspecified formulation|diphtheria, tetanus toxoids and acellular pertussis vaccine, unspecified formulation|This CVX code allows reporting of a vaccination when formulation is unknown (for example, when recording a DTaP vaccination when noted on a vaccination card)|Inactive|False|2010/09/30
110       |DTaP-Hep B-IPV|DTaP-hepatitis B and poliovirus vaccine||Active|False|2010/05/28
50        |DTaP-Hib|DTaP-Haemophilus influenzae type b conjugate vaccine||Inactive|False|2017/03/20
120       |DTaP-Hib-IPV|diphtheria, tetanus toxoids and acellular pertussis vaccine, Haemophilus influenzae type b conjugate, and poliovirus vaccine, inactivated (DTaP-Hib-IPV)||Active|False|2010/05/28
130       |DTaP-IPV|Diphtheria, tetanus toxoids and acellular pertussis vaccine, and poliovirus vaccine, inactivated||Active|False|2010/05/28
01        |DTP|diphtheria, tetanus toxoids and pertussis vaccine||Inactive|False|2010/05/28
22        |DTP-Hib|DTP-Haemophilus influenzae type b conjugate vaccine||Inactive|False|2017/03/23
102       |DTP-Hib-Hep B|DTP- Haemophilus influenzae type b conjugate and hepatitis b vaccine|This CVX has been corrected. This non-US vaccine contained DTP, Hib and Hep B. It was withdrawn in 2007 .|Non-US|False|2016/05/20
57        |hantavirus|hantavirus vaccine||Never Active|False|2020/09/09
52        |Hep A, adult|hepatitis A vaccine, adult dosage||Active|False|2010/05/28
83        |Hep A, ped/adol, 2 dose|hepatitis A vaccine, pediatric/adolescent dosage, 2 dose schedule||Active|False|2010/05/28
84        |Hep A, ped/adol, 3 dose|hepatitis A vaccine, pediatric/adolescent dosage, 3 dose schedule|This vaccine formulation is inactive and should not be used, except to record historic vaccinations with this formulation.|Inactive|False|2010/05/28
31        |Hep A, pediatric, unspecified formulation|hepatitis A vaccine, pediatric dosage, unspecified formulation|Do NOT use this code.  If formulation is unknown, use CVX 85.  There is only one formulation of Hep A, peds.|Inactive|False|2010/09/30
85        |Hep A, unspecified formulation|hepatitis A vaccine, unspecified formulation|This CVX code allows reporting of a vaccination when formulation is unknown (for example, when recording a HepA vaccination when noted on a vaccination card)|Inactive|False|2010/09/30
104       |Hep A-Hep B|hepatitis A and hepatitis B vaccine||Active|False|2010/05/28
30        |HBIG|hepatitis B immune globulin||Active|True|2020/09/04
08        |Hep B, adolescent or pediatric|hepatitis B vaccine, pediatric or pediatric/adolescent dosage|This code applies to any standard pediatric formulation of Hepatitis B vaccine. It should not be used for the 2-dose hepatitis B schedule for adolescents (11-15 year olds). It requires Merck's Recombivax HB adult formulation. Use code 43 for that vaccine.|Active|False|2018/05/10
42        |Hep B, adolescent/high risk infant|hepatitis B vaccine, adolescent/high risk infant dosage|As of August 27, 1998, Merck ceased distribution of their adolescent/high risk infant hepatitis B vaccine dosage. Code 42 should only be used to record historical records. For current administration of hepatitis B vaccine, pediatric/adolescent dosage, use code 08.|Inactive|False|2010/05/28
43        |Hep B, adult|hepatitis B vaccine, adult dosage|As of September 1999, a 2-dose hepatitis B schedule for adolescents (11-15 year olds) was FDA approved for Merck's Recombivax HB adult formulation. Use code 43 for the 2-dose. This code should be used for any use of standard adult formulation of hepatitis B vaccine.|Active|False|2018/05/10
44        |Hep B, dialysis|hepatitis B vaccine, dialysis patient dosage|NDCs that are used for both vaccine and dialysis (e.g. Engerix-B)  are mapped to CVX 43 which is not specific to dialysis use|Active|False|2019/05/08
45        |Hep B, unspecified formulation|hepatitis B vaccine, unspecified formulation|This CVX code allows reporting of a vaccination when formulation is unknown (for example, when recording a HepB vaccination when noted on a vaccination card)|Inactive|False|2010/09/30
58        |Hep C|hepatitis C vaccine||Never Active|False|2020/09/09
59        |Hep E|hepatitis E vaccine||Never Active|False|2020/09/09
60        |herpes simplex 2|herpes simplex virus, type 2 vaccine||Never Active|False|2020/09/09
46        |Hib (PRP-D)|Haemophilus influenzae type b vaccine, PRP-D conjugate||Inactive|False|2010/05/28
47        |Hib (HbOC)|Haemophilus influenzae type b vaccine, HbOC conjugate||Inactive|False|2010/05/28
48        |Hib (PRP-T)|Haemophilus influenzae type b vaccine, PRP-T conjugate||Active|False|2010/05/28
49        |Hib (PRP-OMP)|Haemophilus influenzae type b vaccine, PRP-OMP conjugate||Active|False|2010/05/28
17        |Hib, unspecified formulation|Haemophilus influenzae type b vaccine, conjugate unspecified formulation||Inactive|False|2010/09/30
51        |Hib-Hep B|Haemophilus influenzae type b conjugate and Hepatitis B vaccine|This vaccine may still be in use until the existing lots expire on 8/19/16.|Inactive|False|2016/03/11
61        |HIV|human immunodeficiency virus vaccine||Never Active|False|2020/09/09
118       |HPV, bivalent|human papilloma virus vaccine, bivalent||Inactive|False|2010/05/28
62        |HPV, quadrivalent|human papilloma virus vaccine, quadrivalent||Active|False|2020/06/02
86        |IG|immune globulin, intramuscular||Active|True|2020/09/04
87        |IGIV|immune globulin, intravenous||Active|True|2020/09/04
14        |IG, unspecified formulation|immune globulin, unspecified formulation||Inactive|True|2023/03/09
111       |Influenza, live, trivalent, intranasal|Influenza, live, trivalent, intranasal|Trivalent code reactivated for 2024/2025 season|Active|False|2024/05/01
15        |influenza, split (incl. purified surface antigen)|influenza virus vaccine, split virus (incl. purified surface antigen)-retired CODE|This code is being retired. It will still be found in older immunization records. It included both preservative free and non-preservative free.|Inactive|False|2010/09/30
16        |influenza, whole|influenza virus vaccine, whole virus||Inactive|False|2010/05/28
88        |influenza, unspecified formulation|influenza virus vaccine, unspecified formulation|This CVX code allows reporting of a vaccination when formulation is unknown (for example, when recording a Influenza vaccination when noted on a vaccination card)|Inactive|False|2010/09/30
123       |influenza, H5N1-1203|influenza virus vaccine, H5N1, A/Vietnam/1203/2004 (national stockpile)||Inactive|False|2010/05/28
10        |IPV|poliovirus vaccine, inactivated||Active|False|2010/05/28
02        |OPV|trivalent poliovirus vaccine, live, oral|This is the OPV that was used in the US|Inactive|False|2017/02/10
89        |polio, unspecified formulation|poliovirus vaccine, unspecified formulation|This CVX code allows reporting of a vaccination when formulation is unknown (for example, when recording a polio vaccination when noted on a vaccination card)|Inactive|False|2010/09/30
39        |Japanese encephalitis SC|Japanese Encephalitis Vaccine SC||Inactive|False|2015/09/24
63        |Junin virus|Junin virus vaccine||Never Active|False|2020/09/09
64        |leishmaniasis|leishmaniasis vaccine||Never Active|False|2020/09/09
65        |leprosy|leprosy vaccine||Never Active|False|2020/09/09
66        |Lyme disease|Lyme disease vaccine||Inactive|False|2010/05/28
03        |MMR|measles, mumps and rubella virus vaccine||Active|False|2010/05/28
04        |M/R|measles and rubella virus vaccine||Inactive|False|2010/05/28
94        |MMRV|measles, mumps, rubella, and varicella virus vaccine||Active|False|2010/05/28
67        |malaria|malaria vaccine||Never Active|False|2020/09/09
05        |measles|measles virus vaccine||Inactive|False|2010/08/31
68        |melanoma|melanoma vaccine||Never Active|False|2020/09/09
32        |meningococcal MPSV4|meningococcal polysaccharide vaccine (MPSV4)||Inactive|False|2017/10/27
103       |meningococcal C conjugate|meningococcal C conjugate vaccine||Inactive|False|2010/05/28
114       |meningococcal MCV4P|meningococcal polysaccharide (groups A, C, Y and W-135) diphtheria toxoid conjugate vaccine (MCV4P)||Active|False|2010/05/28
108       |meningococcal ACWY, unspecified formulation|meningococcal ACWY vaccine, unspecified formulation|This CVX is intended for use when one of the meningococcal vaccines containing serogroups A, C, W and Y (conjugate or polysaccaride) was given and the exact formulation was not recorded. It should not be used to record newly administered immunizations. It is not to be used when one of the meningococcal vaccines containing other serogroups was administered.|Inactive|False|2015/12/01
07        |mumps|mumps virus vaccine||Inactive|False|2015/06/18
69        |parainfluenza-3|parainfluenza-3 virus vaccine||Inactive|False|2010/05/28
11        |pertussis|pertussis vaccine||Inactive|False|2010/05/28
23        |plague|plague vaccine||Inactive|False|2018/05/17
33        |pneumococcal polysaccharide PPV23|pneumococcal polysaccharide vaccine, 23 valent||Active|False|2010/05/28
100       |pneumococcal conjugate PCV 7|pneumococcal conjugate vaccine, 7 valent||Inactive|False|2014/06/26
109       |pneumococcal, unspecified formulation|pneumococcal vaccine, unspecified formulation|This CVX code allows reporting of a vaccination when formulation is unknown (for example, when recording a pneumococcal vaccination when noted on a vaccination card)|Inactive|False|2010/09/30
70        |Q fever|Q fever vaccine||Never Active|False|2020/09/09
18        |rabies, intramuscular injection|rabies vaccine, for intramuscular injection RETIRED CODE|This CVX code has been retired. It is replace by CVX 175,  or CVX 176. It will continue to be found in historic records.|Inactive|False|2016/10/18
40        |rabies, intradermal injection|rabies vaccine, for intradermal injection||Inactive|False|2015/06/18
